- 1 - 0.00 - 3.47
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.57
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 5.30 - 3.56
b - 1 - 0.00 - 3.56
a - 1 - 0.00 - 3.55
a - 1 - 0.00 - 3.53
a - 1 - 0.00 - 3.52
a - 1 - 0.00 - 3.52
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.52
a - 1 - 0.40 - 3.51
a - 1 - 4.49 - 3.50
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.30 - 3.50
a - 1 - 3.37 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 3.99 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 5.60 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 3.89 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 4.51 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 4.52 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 4.94 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 5.14 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 3.14 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 0.67 - 3.50
c - 1 - 4.45 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 5.75 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 5.37 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 5.30 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 0.70 - 3.50
b - 1 - 5.84 - 3.51
b - 1 - 0.00 - 3.53
b - 1 - 0.04 - 3.54
b - 1 - 3.36 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 3.58 - 3.56
b - 1 - 0.00 - 3.55
b - 1 - 5.55 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.51
b - 1 - 0.00 - 3.51
b - 1 - 0.00 - 3.51
b - 1 - 0.00 - 3.51
b - 1 - 0.00 - 3.50
b - 1 - 0.00 - 3.50
b - 1 - 0.00 - 3.50
b - 1 - 0.00 - 3.50
b - 1 - 0.00 - 3.50
b - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.52
a - 1 - 0.00 - 3.54
a - 1 - 0.72 - 3.55
a - 1 - 0.00 - 3.56
a - 1 - 0.00 - 3.56
a - 1 - 0.00 - 3.57
a - 1 - 0.00 - 3.57
a - 1 - 0.00 - 3.57
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
c - 1 - 8.25 - 3.59
c - 1 - 0.00 - 3.58
c - 1 - 4.38 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 4.77 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 4.29 - 3.57
c - 1 - 0.00 - 3.57
c - 1 - 5.20 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 4.70 - 3.57
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
b - 1 - 0.00 - 3.57
b - 1 - 0.00 - 3.57
b - 1 - 0.00 - 3.57
b - 1 - 5.53 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.55
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 5.15 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.57
b - 1 - 0.00 - 3.56
b - 1 - 4.33 - 3.57
b - 1 - 0.00 - 3.57
a - 1 - 0.00 - 3.55
a - 1 - 0.34 - 3.54
a - 1 - 3.68 - 3.53
a - 1 - 0.00 - 3.52
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.51
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.49
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.45 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 5.99 - 3.50
